id,topic,sub-topic
1,Introduction,"Financial Inclusion, Business Correspondent (BC), BSBD Account, Definition of Assets and Liability"
2,Indian Banking System,"Part 1 - Definition of Bank, Types of Deposit and Advances, History of Bank, Nationalization, Merger of Bank"
3,Indian Banking System,"Part 2 - Payment Bank and Small Finance Bank"
4,Indian Banking System,"Part 3 - All India Financial Institutions (AIFI) - NABARD, SIDBI, NHB, NaBFID, Exim Bank"
5,All about RBI,"History of RBI, Subsidiaries of RBI, Printing Press, Mint, RBI function, Training Establishments, Institutes Funded by the Bank, All about Bank Notes"
6,NABARD and PSL Part 1,"History, Subsidiaries of NABARD, RRB, PSL Definition, PSL Target"
7,NABARD and PSL Part 2,"PSL Sector, SHG, JLG, Distressed Farmer, Weaker Section"
8,NABARD and PSL Part 3,"Penalty for Not achieving PSL Sector, PSL Certificate (PSLC), UCB PSL Target, 4 Important Initiative for UCB"
9,NABARD and PSL Part 4,"Gold Loan- Bullet Repayment Scheme- Primary UCB,UIDF"
10,Monetary Policy Part 1,"Definition, CRR, SLR, Government Security (G-Sec)"
11,Monetary Policy Part 2,"Refinance Facility (RFF),Incremental Cash Reserve Ratio (I-CRR)"
12,Monetary Policy Part 3,"LAF,Repo Rate, Standing Deposit Facility (SDF)"
13,Monetary Policy Part 4,"Bank Rate, LAF for MSF and RRB, OMO, MSS"
14,Monetary Policy Part 5,"Monetary Policy Committee (MPC),Updated Bi-Monthly Review, Quantitative-Quantitative Tools of Monetary Policy"
15,Inflation Part 1,"Definition of Inflation and Deflation,Types of Inflation, Demand- Pull Inflation, Cost-Push Inflation, Relation with Monetary Policy, Stages of inflation"
16,Inflation Part 2,"Disinflation,Reflation, Recession, Stagflation, Method to Calculate Inflation, WPI - CPI, Headline Inflation, Core Inflation, Bottleneck Inflation"
17,Money Market,"Definition of Money Market,Instrument, Call Money, Treasury Bill, Certificate of Deposit, Commercial Paper, SDL, Bond, Cash Management Bill (CMB), CBLO, Types of Cheque"
18,Capital Market Part 1,"Definiton,SEBI, Types of Capital, Types of Share- Equity Share, Preference Share, Primary and Secondary Market, IPO, FPO, Right Issue, Private Placement, Demat Account"
19,Capital Market Part 2,"ASBA, Stock Exchange, BSE and NSE, ADR, GDR, IDR, Masala Bond, Mutual Fund Market"
20,Foreign Trade Part 1,"Definition,Balance of Payment, Current Account, Capital Account, FDI, FII"
21,Foreign Trade Part 2,"NRE, NRO, FCNR, Nostro, Vostro, LORO"
22,Budget,"History of Budget,Component of Budget, Types of Budget, Types of Deficit, Types of Fund"
23,Non-Performing Asset (NPA),"Definition, Types of NPA, Types of NPA"
24,Basel Norms,"Definition, Types of Basel Norms, Types of Basel Norms"
25,Prompt Corrective Action (PCA),"Definition, Types of PCA, Types of PCA"
26,National Income,"Definition, GDP, GNP, NNP, Types of Method"
27,RBI Schemes,"Initiatives & Indices, Class 1 Reserve Bank - Integrated Ombudsman Scheme (RB-IOS), 2021, Digital Payment Index (DPI), Financial Inclusion Index (FII)"
28,RBI Schemes,"Initiatives & Indices, Class 2 RBI Retail Direct Scheme 2021, Payments Regulatory Board (PRB)"
29,RBI Schemes,"Initiatives & Indices, Class 3 Lead Bank Scheme, UDGAM Portal"
30,RBI Schemes,"Initiatives & Indices, Class 4 PRAVAAH Portal, MANI App, Regulatory Sandbox, Account Aggregator (AA)"
31,Banking Terminology,"Class 1 MDR, NEFT, RTGS IMPS, NBFC, CBS, KYC, IFSC, MICR, MMID"
32,Banking Terminology,"Class 2 Types of Banking, Types of ATM (White Label ATMs - Brown Label ATMs), BSBDA, Bancassurance, SWIFT, CBDC – e₹"
33,NPCI,"Class 1 All about NPCI, NPCI Subisidiaries, Rupay, UPI, AEPS, *99#, BHIM, PAi, NETC, CTS 2010 ,BBPS"
34,NPCI,"Class 2 UPI Lite, UPI 123Pay, UPI Circle, NACH, BHIM Aadhaar Pay, E-RUPI Contactless Digital Payment Platform"
35,Government Scheme,"Class 1 Pradhan Mantri Mudra Yojana (PMMY), Pradhan Mantri Jan-Dhan Yojana (PMJDY), Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY), Pradhan Mantri Suraksha Bima Yojana (PMSBY), Sukanya Samriddhi Yojana (SSY), PM Vidyalaxmi’ Scheme"
36,Government Scheme,"Class 2 Atal Pension Yojana (APY), Pradhan Mantri Shram Yogi Maandhan Yojana (PM-SYM), Pradhan Mantri Laghu Vyapari Maan-dhan Yojana (PMLVMY), Pradhan Mantri Kisan Maan-Dhan Yojana (PM-KMY), Stand-up India Scheme"
37,Government Scheme,"Class 3 Kisan Vikas Patra (KVP), Senior Citizen Savings Scheme (SCSS), PM-SvaNidhi Scheme, National Action for Mechanised Sanitation Ecosystem (NAMASTE) Scheme, Pradhan Mantri Kisan Samman Nidhi (PM Kisan)"
38,Government Scheme,"Class 4 Ayushman Bharat Yojana, Ayushman Bharat Digital Mission (ABDM), Pradhan Mantri Ayushman Bharat Health Infrastructure Mission (PM-ABHIM), Pradhan Mantri Bharatiya Janaushadhi Pariyojana (PMBJP), Atal Bhujal Yojana (Atal Jal), Pradhan Mantri Sahaj Bijli Har Ghar Yojana (Saubhagya), SVAaMITVA Scheme"
39,Government Scheme,"Class 5 Pradhan Mantri Matsya Sampada Yojana (PMMSY), Pradhan Mantri Matsya Kisan Samridhi Sah-Yojana (PM-MKSSY), Pradhan Mantri Ujjwala Yojana (PMUY), Pradhan Mantri Fasal Bima Yojana (PMFBY), PM Vishkarma Scheme, National Technical Textiles Mission, PM-YUVA"
40,Government Scheme,"Class 6 Pradhan Mantri Matru Vandana Yojana (PMMVY), Mission Poshan 2.0, World's Largest Grain Storage Plan in Cooperative, Public Provident Fund (PPF), National Savings Certificate (NSC), PM’s Internship Scheme, Mutual Credit Guarantee Scheme (MCGS), ,Pradhan Mantri Awas Yojana"
41,Government Scheme,"Class 7 PM Surya Ghar - Muft Bijli Yojana, LIC Bima Sakhi Yojana, Research, Development and Innovation (RDI) scheme (Science and Technology), Member of Parliament Local Area Development Scheme (MPLAD),  Pradhan Mantri Kisan Urja Suraksha evam Utthaan Mahabhiyan (PM-KUSUM) Yojana"
42,Government Scheme,"Class 8 Pradhan Mantri Vanbandhu Kalyan Yojana (PMVKY), Udan Scheme, Electronics Component Manufacturing Scheme (ECMS), Pradhan Mantri Dhan-Dhanya Krishi Yojana (PMDDKY), Biomedical Research Career Programme (BRCP), Mission for Aatmanirbharta in Pulses"
43,Government Scheme,"Class 9 Pradhan Mantri Skilling and Employability Transformation through Upgraded ITIs (PM-SETU), National Beekeeping and Honey Mission (NBHM), Export Promotion Mission (EPM), Credit Guarantee Scheme for Exporters (CGSE), Multidisciplinary Education and Research improvement in Technical Education (MERITE) Scheme"
44,Government Scheme,"Class 10 PM Electric Drive Revolution in Innovative Vehicle Enhancement (PM E-DRIVE) Scheme, First-Ever e-Truck Incentive Scheme , Remission of Duties and Taxes on Exported Products (RoDTEP) Scheme, Rebate of State and Central Taxes and Levies (RoSCTL) Scheme, IndiaAI Mission, Mission Mausam"
45,Government Scheme,"Class 11 Pradhan Mantri Garib Kalyan Anna Yojana (PMGKAY), Pradhan Mantri Uchchatar Shiksha Abhiyan (PM-USHA), Mission Shakti, Pradhan Mantri Annadata Aay Sanrakshan Abhiyan (PM-AASHA), Kishan Credit Card (KCC) Scheme, Modified Interest Subvention Scheme (MISS)"
46,Government Scheme,"Class 12 Employment Linked Incentive (ELI) Scheme, Mahatma Gandhi National Rural Employment Guarantee Scheme (MGNREGS), Pradhan Mantri Surakshit Matritva Abhiyan (PMSMA), Credit Guarantee Scheme for Startups (CGSS), Cashless treatment scheme for road accident victims"
47,Government Scheme,"Class 13 Gold Monetisation Scheme (GMS), Pradhan Mantri Janjatiya Unnat Gram Abhiyan, PM- Janjati Adivasi Nyaya Maha AbhiyaN (PM JANMAN), Namo Drone Didi, National Sickle Cell Anaemia Elimination Mission"
48,Government Scheme,"Class 14 PM GatiShakti National Master Plan (PMGS NMP), Prime Minister's Development Initiative for North Eastern Region (PM-DevINE), Pradhan Mantri Dakshata Aur Kushalata Sampanna Hitgrahi (PM-DAKSH) Yojana, National Critical Mineral Mission (NCMM), Prime Minister Employment Generation Programme (PMEGP)"
49,Government Scheme,"Class 15 Pradhan Mantri Poshan Shakti Nirman (PM POSHAN), Pradhan Mantri Schools for Rising India (PM SHRI) Scheme, Vibrant Villages Programme, Unified Pension Scheme (UPS), Mission NPS Vatsalya Scheme"
