id,topic,sub-topic
1,Basics Of Reasoning,
2,Alphanumeric Series,In Depth Discussion of Basics
3,Alphanumeric Series,Letter/Digit Series
4,Alphanumeric Series,Mix Series -1
5,Alphanumeric Series,MIx Series -2
6,Alphanumeric Series,Numeric Series Questions
7,Alphanumeric Series,Word Series Questions
8,Alphanumeric Series,Pair Formation
9,Alphanumeric Series,Pair & Word Based
10,Alphanumeric Series,Resultant & Step Based
11,Alphanumeric Series,Step & Multiple Based
12,CLASS TEST,Alphanumeric Series
13,Coding-Decoding,In Depth Discussion of Basics
14,Coding-Decoding,Substitutional Coding
15,Coding-Decoding,Conditional Coding
16,Coding-Decoding,Conditional & Binary Coding
17,Coding-Decoding,New Pattern Coding
18,Coding-Decoding-6,Machine & Mathematical Based
19,Coding-Decoding-7,Structure Based
20,CLASS TEST,Coding-Decoding
21,GOAL CHASERS' 26,
22,Inequality,In Depth Discussion of Basics
23,Inequality,Simple Inequality - Without Comma
24,Inequality,Simple Inequality - With Comma  
25,Inequality,Simple Inequality but Dangerous level
26,Inequality,Filler & Reverse Inequality
27,Inequality,Reverse & Coded Inequality
28,Inequality,Coded Inequality
29,Inequality,Column Based Inequality-New Pattern
30,CLASS TEST,Inequality
31,Syllogism,In Depth Discussion of Basics
32,Syllogism,Basic Discussion Continues
33,Syllogism,Only & Only a few + Either Or Concept
34,Syllogism,Logically Follows-Simple Keywords
35,Syllogism,Logically Follows-Only & Only a few-1
36,Syllogism,Logically Follows-Only & Only a few-2
37,Syllogism,Logically & Definitely does not Follows
38,Syllogism,Reverse & Coded Syllogism
39,Syllogism,Column & Filler Syllogism
40,Class Test,Syllogism
41,FUSION' 26,
42,Blood Relation,In Depth Discussion of Basics
43,Blood Relation,Passage Based - Traditional
44,Blood Relation,Passage Based - Smart
45,Blood Relation,Code Based
46,Direction & Distance,In Depth Discussion of Basics
47,Direction & Distance,Passage Based
48,Direction & Distance,Axis Based
49,Direction & Distance,Code Based
50,B.R + D.D Fusion Questions,
51,CLASS TEST -,B.R & D.D
52,Puzzles,In Depth Discussion of Basics
53,Puzzles,Day/Month Based
54,Puzzles,Month Based
55,Puzzles,Month+Date & Month+Year Based
56,Puzzles,Year & Base Year Based
57,Puzzles,Post Based
58,Puzzles,Floor Based
59,Puzzles,Floor+Flat Based
60,Puzzles,Box Based
61,Puzzles,Selection Based
62,Puzzles,Classification Based
63,Puzzles,Comparision Based
64,Puzzles,Vacant Condition Based
65,CLASS TEST -,Puzzles
66,Seating Arrangement,In Depth Discussion of Basics
67,Seating Arrangement,Basic Concept Contineues 
68,Seating Arrangement,Circle Based
69,Seating Arrangement,Circle Based Mixed Direction-1
70,Seating Arrangement,Circle Based Mixed Direction-2
71,Seating Arrangement,Square & Rectangle Based -1
72,Seating Arrangement,Square & Rectangle Based -2
73,Seating Arrangement,Triangle/Pentagon/Hexagon
74,Seating Arrangement,Single Strainght Line-FIX Direction
75,Seating Arrangement,Single Strainght Line-MIX Direction
76,Seating Arrangement,Parallel Row
77,Seating Arrangement,Certain Person Bounded Body
78,Seating Arrangement,Certain Person Linear Body
79,Seating Arrangement,Vacant Condition Based -1
80,Seating Arrangement,Vacant Condition Based -2
81,CLASS TEST -,Prelims Level
82,POWER HOUSE' 26,
83,Puzzles MAINS,Day & Month Based With Variable
84,Puzzles MAINS,Month & Month + Date Based  With Variable
85,Puzzles MAINS,Year & Post With Variable
86,Puzzles MAINS,Floor & Floor+Flat With Variable
87,Puzzles MAINS,Data Based Classification Puzzle
88,Puzzles MAINS,Selection Based With Variable
89,Puzzles MAINS,Vacant Condition Based -1
90,Puzzles MAINS,Vacant Condition Based -2
91,Puzzles MAINS,Certain Person Based Puzzle
92,Puzzles MAINS,SMART PUZZLE-1
93,Puzzles MAINS,SMART PUZZLE-2
94,CLASS TEST,Puzzle Mains
95,Seating Arrangement MAINS,Circle With Variable- Fix Direction
96,Seating Arrangement MAINS,Circle With Variable- Mix Direction
97,Seating Arrangement MAINS,Different Shapes With Variable-1
98,Seating Arrangement MAINS,Different Shapes With Variable-2
99,Seating Arrangement MAINS,Single Strainght Line With Variable-1
100,Seating Arrangement MAINS,Single Strainght Line With Variable-2
101,Seating Arrangement MAINS,Parallel Row With Variable
102,Seating Arrangement MAINS,Three Row Arrangement
103,Seating Arrangement MAINS,Concentric Figures
104,Seating Arrangement MAINS,Concentric Figures With Variable
105,Seating Arrangement MAINS,Semi Circle & Different Shapes
106,CLASS TEST -,Seating Arrangement - Mains
107,Data Sufficiency,In Depth Discussion of Basics
108,Data Sufficiency,Two Statement Based - 1
109,Data Sufficiency,Two Statement Based - 2
110,Data Sufficiency,Three/Four Statement Based
111,Data Sufficiency,Five Statement Based & Redundant Based
112,Machine Input Output,In Depth Discussion of Basics
113,Machine Input Output,Shiftting/Arrangement Based
114,Machine Input Output,Coding Logic Based
115,Machine Input Output,Box Based/New Pattern
116,CLASS TEST,Data Sufficiency & Machine Input Output
117,Critical  Reasoning,In Depth Discussion of Basics
118,Critical  Reasoning,Course of Action & Argument Based
119,Critical  Reasoning,Assumption & Inference Based
120,Critical  Reasoning,"Strengthen-Weaken, Conclusion & Possible Reason Based"
121,Critical  Reasoning,Cause and Effect
122,Critical  Reasoning,Mix Questions
123,CLASS TEST,Critical Reasoning
